x,y,z
-9.948327636718750000e+01,-5.572273135185241699e-01,1.492281036376953125e+02
-9.969675445556640625e+01,-4.127724170684814453e-01,1.495653381347656250e+02
-9.991255187988281250e+01,-2.719136774539947510e-01,1.499027709960937500e+02
-1.001304473876953125e+02,-1.349651366472244263e-01,1.502406158447265625e+02
-1.003502120971679688e+02,-2.240876201540231705e-03,1.505791015625000000e+02
-1.005716247558593750e+02,1.259450465440750122e-01,1.509184722900390625e+02
-1.007944488525390625e+02,2.492826133966445923e-01,1.512589111328125000e+02
-1.010184402465820312e+02,3.675711750984191895e-01,1.516006011962890625e+02
-1.012433242797851562e+02,4.807296693325042725e-01,1.519435729980468750e+02
-1.014688034057617188e+02,5.886829495429992676e-01,1.522879028320312500e+02
-1.016946182250976562e+02,6.913559436798095703e-01,1.526336364746093750e+02
-1.019204864501953125e+02,7.886736392974853516e-01,1.529808349609375000e+02
-1.021461181640625000e+02,8.805609345436096191e-01,1.533295593261718750e+02
-1.023712463378906250e+02,9.669427871704101562e-01,1.536798706054687500e+02
-1.025955810546875000e+02,1.047744035720825195e+00,1.540318145751953125e+02
-1.028188552856445312e+02,1.122889757156372070e+00,1.543854522705078125e+02
-1.030407791137695312e+02,1.192304730415344238e+00,1.547408447265625000e+02
-1.032610778808593750e+02,1.255913853645324707e+00,1.550980377197265625e+02
-1.034794769287109375e+02,1.313642263412475586e+00,1.554571075439453125e+02
-1.036956863403320312e+02,1.365414738655090332e+00,1.558181152343750000e+02
-1.039094314575195312e+02,1.411156177520751953e+00,1.561810913085937500e+02
-1.041204452514648438e+02,1.450791597366333008e+00,1.565461120605468750e+02
-1.043284301757812500e+02,1.484245896339416504e+00,1.569132232666015625e+02
-1.045331192016601562e+02,1.511444091796875000e+00,1.572824859619140625e+02
-1.047342224121093750e+02,1.532310962677001953e+00,1.576539611816406250e+02
-1.049315338134765625e+02,1.546833395957946777e+00,1.580276947021484375e+02
-1.051250381469726562e+02,1.555225849151611328e+00,1.584035949707031250e+02
-1.053147888183593750e+02,1.557754993438720703e+00,1.587815704345703125e+02
-1.055008316040039062e+02,1.554687380790710449e+00,1.591615447998046875e+02
-1.056832122802734375e+02,1.546289443969726562e+00,1.595434265136718750e+02
-1.058619689941406250e+02,1.532827854156494141e+00,1.599271240234375000e+02
-1.060371627807617188e+02,1.514569163322448730e+00,1.603125305175781250e+02
-1.062088241577148438e+02,1.491780042648315430e+00,1.606995849609375000e+02
-1.063770141601562500e+02,1.464727044105529785e+00,1.610881805419921875e+02
-1.065417709350585938e+02,1.433676719665527344e+00,1.614782257080078125e+02
-1.067031402587890625e+02,1.398895621299743652e+00,1.618696289062500000e+02
-1.068611755371093750e+02,1.360650300979614258e+00,1.622622985839843750e+02
-1.070159149169921875e+02,1.319207429885864258e+00,1.626561737060546875e+02
-1.071674118041992188e+02,1.274833559989929199e+00,1.630511169433593750e+02
-1.073157043457031250e+02,1.227795362472534180e+00,1.634470672607421875e+02
-1.074608535766601562e+02,1.178359270095825195e+00,1.638439331054687500e+02
-1.076028900146484375e+02,1.126791834831237793e+00,1.642416229248046875e+02
-1.077418594360351562e+02,1.073359847068786621e+00,1.646400451660156250e+02
-1.078778228759765625e+02,1.018330454826354980e+00,1.650390930175781250e+02
-1.080109100341796875e+02,9.619944095611572266e-01,1.654387207031250000e+02
-1.081413192749023438e+02,9.046702980995178223e-01,1.658388977050781250e+02
-1.082693023681640625e+02,8.466781973838806152e-01,1.662395629882812500e+02
-1.083950653076171875e+02,7.883383035659790039e-01,1.666407012939453125e+02
-1.085188522338867188e+02,7.299706935882568359e-01,1.670422821044921875e+02
-1.086408691406250000e+02,6.718955636024475098e-01,1.674442443847656250e+02
-1.087613601684570312e+02,6.144329905509948730e-01,1.678465728759765625e+02
-1.088805389404296875e+02,5.579031109809875488e-01,1.682492065429687500e+02
